ENSG00000015676	E014,E015,E016,E017,E026,E029	E018,E022	E009,E010,E016	E011,E013
ENSG00000074319	E010,E014,E021,E022	E011,E012	E008	E003,E004
ENSG00000077147	E001,E022	E026	E001,E015	E017
ENSG00000082458	E039	E038	NA	E019
ENSG00000095794	E006,E023,E024,E025,E073,E079,E083,E084,E087	E078	E006	E018,E019
ENSG00000103549	E040,E050,E051	E039,E052	E003,E025,E026,E033	E034
ENSG00000106853	E016	E017,E018	NA	E008
ENSG00000111837	NA	NA	NA	E002
ENSG00000115685	E008,E009,E010,E012,E013,E021,E023,E028,E033,E035,E036,E038,E046,E048	E011,E034,E047	E003,E006,E009,E012,E014,E018	E001,E002
ENSG00000121060	E002,E007,E017,E021,E022	NA	E008	E001
ENSG00000127483	E018,E019	E017,E032	E013,E014	E017
ENSG00000130202	E002,E012	E001	E007,E013	E001
ENSG00000144579	E009,E010,E024,E025,E029,E030,E037,E038,E039	NA	E002,E007,E008	E014
ENSG00000156515	E022,E027,E030,E031,E045,E047,E048,E053,E054,E055	E028,E029	E003,E015,E016,E020	E002,E004
ENSG00000158864	E014,E015,E031,E042,E043	NA	E004	E017
ENSG00000161714	E006,E029,E031,E032,E034,E041,E042,E043	E033	E021,E028,E029	E022
ENSG00000164815	E011,E015,E020,E023,E024	E012	E007,E009,E012,E014	E008,E013
ENSG00000167105	E010	NA	NA	E006
ENSG00000167671	E028,E029,E032	E031	E011,E012,E015	E014
ENSG00000171490	E005,E006,E007	E001	E003	E001,E004
ENSG00000174007	NA	E001	NA	E001
ENSG00000181789	E021,E032,E039,E041,E044	E043	E011,E019,E025,E027	E026
ENSG00000182534	E001	E005,E006	E001	E003
ENSG00000185728	E013,E036	E018	E003	E011
ENSG00000188501	E007,E010,E012,E015	E008,E013	E007,E010,E012,E015	E008,E013
ENSG00000189266	E003,E006,E009,E010	E005	E002,E005,E007,E008	E004
ENSG00000197622	E002,E009	E008	E001	E006
ENSG00000198363	E004,E005,E006,E007,E008,E009,E010,E011,E020,E024,E025,E028,E029,E030,E056	E002	E002,E004,E005,E006,E007,E008,E016,E029	E001
ENSG00000204305	NA	NA	E004,E006,E007,E008,E009,E014	E012,E013
ENSG00000205302	E001,E002,E003,E009,E013,E038,E039	E004,E005	E002,E005	E001
