method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.148837209302326	0.33826247689464	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0626780626780627	0.94269340974212	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.667,1.000] (n = 2209)	0.161290322580645	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.202952029520295	0.399260628465804	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0817438692098093	0.965616045845272	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.667,1.000] (n = 2209)	0.235294117647059	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.251552795031056	0.44547134935305	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.0984042553191489	0.97134670487106	#009E73
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.315789473684211	0.945454545454545	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.102439024390244	0.340110905730129	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0348837209302326	0.951289398280802	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[0.667,1.000] (n = 2209)	0.0186915887850467	0.954545454545455	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.165413533834586	0.410351201478743	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0583333333333333	0.97134670487106	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[0.667,1.000] (n = 2209)	0.0540540540540541	0.954545454545455	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.213114754098361	0.44362292051756	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.0710382513661202	0.974212034383954	#E69F00
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.0869565217391304	0.954545454545455	#E69F00
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.0670391061452514	0.308687615526802	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0267062314540059	0.939828080229226	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[0.667,1.000] (n = 2209)	0	0.963636363636364	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.117117117117117	0.362292051756007	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0401146131805158	0.959885386819484	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[0.667,1.000] (n = 2209)	0	0.963636363636364	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.144	0.395563770794824	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.053072625698324	0.97134670487106	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.0272727272727273	0.972727272727273	#56B4E9
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.0564971751412429	0.308687615526802	white
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.00911854103343465	0.934097421203438	#0072B2
