method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.148837209302326	0.33826247689464	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0626780626780627	0.94269340974212	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.667,1.000] (n = 2209)	0.161290322580645	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.202952029520295	0.399260628465804	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0817438692098093	0.965616045845272	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.667,1.000] (n = 2209)	0.235294117647059	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.251552795031056	0.44547134935305	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.0984042553191489	0.97134670487106	#009E73
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.315789473684211	0.945454545454545	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.105820105820106	0.312384473197782	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.043859649122807	0.936962750716332	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.01	[0.667,1.000] (n = 2209)	0.111111111111111	0.945454545454545	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.163793103448276	0.358595194085028	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0619718309859155	0.954154727793696	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.05	[0.667,1.000] (n = 2209)	0.1875	0.945454545454545	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.195402298850575	0.388170055452865	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.0769230769230769	0.962750716332378	#56B4E9
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.223880597014925	0.945454545454545	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.0978260869565217	0.306839186691312	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0383480825958702	0.934097421203438	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.01	[0.667,1.000] (n = 2209)	0.0545454545454545	0.945454545454545	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.05	[0.000,0.333) (n = 10426)	0.152173913043478	0.360443622920518	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.05	[0.333,0.667) (n = 1302)	0.0539772727272727	0.954154727793696	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.05	[0.667,1.000] (n = 2209)	0.111111111111111	0.945454545454545	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.1	[0.000,0.333) (n = 10426)	0.175097276264591	0.391866913123845	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.1	[0.333,0.667) (n = 1302)	0.0668523676880223	0.959885386819484	#0072B2
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.1	[0.667,1.000] (n = 2209)	0.154471544715447	0.945454545454545	white
DEXSeq-noaggreg (f3)	#D55E00	Drosophila	0.01	[0.000,0.333) (n = 10426)	0.0778443113772455	0.284658040665434	white
DEXSeq-noaggreg (f3)	#D55E00	Drosophila	0.01	[0.333,0.667) (n = 1302)	0.0298507462686567	0.931232091690544	white
