method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
casper	#000000	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.0833333333333333	0.182994454713494	white
casper	#000000	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.023696682464455	0.590257879656161	white
casper	#000000	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.05	0.690909090909091	white
casper	#000000	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.127659574468085	0.22735674676525	white
casper	#000000	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0555555555555556	0.63323782234957	white
casper	#000000	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.113636363636364	0.709090909090909	white
casper	#000000	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.230337078651685	0.253234750462107	white
casper	#000000	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0702479338842975	0.644699140401146	#000000
casper	#000000	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.159574468085106	0.718181818181818	white
cuffdiff	#72B20C	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	NA	0	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.32378223495702	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.011090573012939	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.398280802292264	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.011090573012939	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.426934097421203	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
DEXSeq-default	#F0E442	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.14070351758794	0.316081330868762	white
DEXSeq-default	#F0E442	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0595238095238095	0.905444126074499	white
DEXSeq-default	#F0E442	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.162393162393162	0.890909090909091	white
DEXSeq-default	#F0E442	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.202380952380952	0.371534195933457	white
DEXSeq-default	#F0E442	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0742857142857143	0.92836676217765	white
DEXSeq-default	#F0E442	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.24031007751938	0.890909090909091	white
DEXSeq-default	#F0E442	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.238095238095238	0.414048059149723	white
DEXSeq-default	#F0E442	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0891364902506964	0.936962750716332	#F0E442
DEXSeq-default	#F0E442	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.319444444444444	0.890909090909091	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.148837209302326	0.33826247689464	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0626780626780627	0.94269340974212	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.161290322580645	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.202952029520295	0.399260628465804	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0817438692098093	0.965616045845272	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.235294117647059	0.945454545454545	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.251552795031056	0.44547134935305	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0984042553191489	0.97134670487106	#009E73
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.315789473684211	0.945454545454545	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.218390804597701	0.251386321626617	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0413533834586466	0.730659025787966	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.113924050632911	0.636363636363636	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.279620853080569	0.280961182994455	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0583941605839416	0.739255014326648	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.172413793103448	0.654545454545455	white
featureCounts-exon	#56B4E9	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.289256198347107	0.317929759704251	white
featureCounts-exon	#56B4E9	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0711743772241993	0.747851002865329	#56B4E9
featureCounts-exon	#56B4E9	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.197802197802198	0.663636363636364	white
featureCounts-flat	#E69F00	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.101063829787234	0.312384473197782	white
featureCounts-flat	#E69F00	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0439882697947214	0.934097421203438	white
featureCounts-flat	#E69F00	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.11864406779661	0.945454545454545	white
featureCounts-flat	#E69F00	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.158798283261803	0.362292051756007	white
featureCounts-flat	#E69F00	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0619718309859155	0.954154727793696	white
featureCounts-flat	#E69F00	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.206106870229008	0.945454545454545	white
featureCounts-flat	#E69F00	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.189393939393939	0.395563770794824	white
featureCounts-flat	#E69F00	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0769230769230769	0.962750716332378	#E69F00
featureCounts-flat	#E69F00	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.246376811594203	0.945454545454545	white
kallisto	#00FF00	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.127906976744186	0.277264325323475	white
kallisto	#00FF00	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0555555555555556	0.974212034383954	white
kallisto	#00FF00	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.194029850746269	0.981818181818182	white
kallisto	#00FF00	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.159090909090909	0.341959334565619	white
kallisto	#00FF00	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.0652173913043478	0.98567335243553	white
kallisto	#00FF00	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.307692307692308	0.981818181818182	white
kallisto	#00FF00	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.195488721804511	0.395563770794824	white
kallisto	#00FF00	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.0875331564986737	0.98567335243553	#00FF00
kallisto	#00FF00	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.382857142857143	0.981818181818182	white
MISO	#0072B2	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.138888888888889	0.343807763401109	white
MISO	#0072B2	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0628415300546448	0.982808022922636	white
MISO	#0072B2	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.149606299212598	0.981818181818182	white
MISO	#0072B2	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.190140845070423	0.425138632162662	white
MISO	#0072B2	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.105670103092784	0.994269340974212	white
MISO	#0072B2	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0.255172413793103	0.981818181818182	white
MISO	#0072B2	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0.236526946107784	0.471349353049908	white
MISO	#0072B2	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.123737373737374	0.994269340974212	white
MISO	#0072B2	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0.341463414634146	0.981818181818182	white
rMATS	#7B0077	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0.20952380952381	0.153419593345656	white
rMATS	#7B0077	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.0980392156862745	0.39541547277937	white
rMATS	#7B0077	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0.313432835820896	0.418181818181818	white
rMATS	#7B0077	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0.256756756756757	0.203327171903882	white
