method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
cuffdiff	#72B20C	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	NA	0	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.32378223495702	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.011090573012939	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.398280802292264	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.011090573012939	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0	0.426934097421203	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.436363636363636	#72B20C
cuffdiff-exon	#56B4E9	Drosophila	0.01	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.00184842883548983	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.01	[0.333,0.667) (n = 1302, n.ds = 349)	0.00591715976331361	0.481375358166189	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.01	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.763636363636364	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.05	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.0184842883548983	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.05	[0.333,0.667) (n = 1302, n.ds = 349)	0.00462962962962963	0.616045845272206	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.05	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.763636363636364	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.1	[0.000,0.333) (n = 10426, n.ds = 541)	0	0.0277264325323475	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.1	[0.333,0.667) (n = 1302, n.ds = 349)	0.00432900432900433	0.659025787965616	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.1	[0.667,1.000] (n = 2209, n.ds = 110)	0	0.763636363636364	#56B4E9
cuffdiff	#72B20C	Human	0.01	[0.000,0.333) (n = 12158, n.ds = 587)	0	0.00170357751277683	#72B20C
cuffdiff	#72B20C	Human	0.01	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.215339233038348	#72B20C
cuffdiff	#72B20C	Human	0.01	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.540540540540541	#72B20C
cuffdiff	#72B20C	Human	0.05	[0.000,0.333) (n = 12158, n.ds = 587)	0	0.00340715502555366	#72B20C
cuffdiff	#72B20C	Human	0.05	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.294985250737463	#72B20C
cuffdiff	#72B20C	Human	0.05	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.540540540540541	#72B20C
cuffdiff	#72B20C	Human	0.1	[0.000,0.333) (n = 12158, n.ds = 587)	0	0.00511073253833049	#72B20C
cuffdiff	#72B20C	Human	0.1	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.342182890855457	#72B20C
cuffdiff	#72B20C	Human	0.1	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.540540540540541	#72B20C
cuffdiff-exon	#56B4E9	Human	0.01	[0.000,0.333) (n = 12158, n.ds = 587)	NA	0	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.01	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.294985250737463	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.01	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.837837837837838	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.05	[0.000,0.333) (n = 12158, n.ds = 587)	0	0.00170357751277683	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.05	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.404129793510324	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.05	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.851351351351351	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.1	[0.000,0.333) (n = 12158, n.ds = 587)	0	0.00170357751277683	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.1	[0.333,0.667) (n = 3206, n.ds = 339)	0	0.480825958702065	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.1	[0.667,1.000] (n = 5046, n.ds = 74)	0	0.851351351351351	#56B4E9
