method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[ 2, 4) (n = 3890)	0.0762942779291553	0.639622641509434	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[ 4,10) (n = 1366)	0.111524163568773	0.588669950738916	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[10,74] (n = 181)	0.254901960784314	0.59375	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[ 2, 4) (n = 3890)	0.103960396039604	0.683018867924528	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[ 4,10) (n = 1366)	0.163398692810458	0.630541871921182	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[10,74] (n = 181)	0.338983050847458	0.609375	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[ 2, 4) (n = 3890)	0.14187643020595	0.707547169811321	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[ 4,10) (n = 1366)	0.196374622356495	0.655172413793103	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[10,74] (n = 181)	0.426666666666667	0.671875	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[ 2, 4) (n = 3890)	0.0308988764044944	0.650943396226415	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[ 4,10) (n = 1366)	0.0590551181102362	0.588669950738916	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	[10,74] (n = 181)	0.13953488372093	0.578125	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[ 2, 4) (n = 3890)	0.0538461538461538	0.69622641509434	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[ 4,10) (n = 1366)	0.111111111111111	0.630541871921182	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	[10,74] (n = 181)	0.240740740740741	0.640625	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[ 2, 4) (n = 3890)	0.0759803921568627	0.711320754716981	#E69F00
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[ 4,10) (n = 1366)	0.134426229508197	0.650246305418719	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	[10,74] (n = 181)	0.301587301587302	0.6875	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[ 2, 4) (n = 3890)	0.0284900284900285	0.643396226415094	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[ 4,10) (n = 1366)	0.025974025974026	0.554187192118227	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	[10,74] (n = 181)	0.0540540540540541	0.546875	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[ 2, 4) (n = 3890)	0.0403225806451613	0.673584905660377	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[ 4,10) (n = 1366)	0.0579150579150579	0.600985221674877	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	[10,74] (n = 181)	0.162790697674419	0.5625	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[ 2, 4) (n = 3890)	0.0518134715025907	0.690566037735849	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[ 4,10) (n = 1366)	0.0824372759856631	0.630541871921182	#56B4E9
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	[10,74] (n = 181)	0.208333333333333	0.59375	white
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	[ 2, 4) (n = 3890)	0.0145348837209302	0.639622641509434	white
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	[ 4,10) (n = 1366)	0.0173913043478261	0.556650246305419	white
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	[10,74] (n = 181)	0.0285714285714286	0.53125	white
