method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
casper	#000000	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.0267857142857143	0.411320754716981	white
casper	#000000	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.0482758620689655	0.339901477832512	white
casper	#000000	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.0384615384615385	0.390625	white
casper	#000000	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.0632411067193676	0.447169811320755	white
casper	#000000	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.087719298245614	0.38423645320197	white
casper	#000000	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.121212121212121	0.453125	white
casper	#000000	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.0848708487084871	0.467924528301887	#000000
casper	#000000	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.148148148148148	0.396551724137931	white
casper	#000000	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.238095238095238	0.5	white
cuffdiff	#72B20C	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0	0.19622641509434	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0	0.125615763546798	#72B20C
cuffdiff	#72B20C	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0	0.09375	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0	0.230188679245283	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0	0.157635467980296	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0	0.109375	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0	0.235849056603774	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0	0.17487684729064	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0	0.109375	#72B20C
DEXSeq-default	#F0E442	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.0687679083094556	0.613207547169811	white
DEXSeq-default	#F0E442	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.110671936758893	0.554187192118227	white
DEXSeq-default	#F0E442	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.25531914893617	0.546875	white
DEXSeq-default	#F0E442	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.101036269430052	0.654716981132075	white
DEXSeq-default	#F0E442	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.160839160839161	0.591133004926108	white
DEXSeq-default	#F0E442	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.333333333333333	0.5625	white
DEXSeq-default	#F0E442	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.132850241545894	0.677358490566038	white
DEXSeq-default	#F0E442	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.192926045016077	0.618226600985222	white
DEXSeq-default	#F0E442	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.409090909090909	0.609375	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.0762942779291553	0.639622641509434	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.111524163568773	0.588669950738916	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.254901960784314	0.59375	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.103960396039604	0.683018867924528	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.163398692810458	0.630541871921182	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.338983050847458	0.609375	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.14187643020595	0.707547169811321	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.196374622356495	0.655172413793103	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.426666666666667	0.671875	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.078125	0.445283018867925	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.0676328502415459	0.475369458128079	white
featureCounts-exon	#56B4E9	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.135135135135135	0.5	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.0895522388059701	0.460377358490566	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.120689655172414	0.502463054187192	white
featureCounts-exon	#56B4E9	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.276595744680851	0.53125	white
featureCounts-exon	#56B4E9	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.105633802816901	0.479245283018868	white
featureCounts-exon	#56B4E9	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.1285140562249	0.53448275862069	white
featureCounts-exon	#56B4E9	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.3	0.546875	white
featureCounts-flat	#E69F00	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.0457142857142857	0.630188679245283	white
featureCounts-flat	#E69F00	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.088	0.561576354679803	white
featureCounts-flat	#E69F00	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.159090909090909	0.578125	white
featureCounts-flat	#E69F00	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.073490813648294	0.666037735849057	white
featureCounts-flat	#E69F00	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.138790035587189	0.596059113300493	white
featureCounts-flat	#E69F00	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.296296296296296	0.59375	white
featureCounts-flat	#E69F00	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.1	0.679245283018868	#E69F00
featureCounts-flat	#E69F00	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.152823920265781	0.62807881773399	white
featureCounts-flat	#E69F00	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.35	0.609375	white
kallisto	#00FF00	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.078167115902965	0.645283018867924	white
kallisto	#00FF00	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.0992063492063492	0.559113300492611	white
kallisto	#00FF00	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.325581395348837	0.453125	white
kallisto	#00FF00	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.125	0.686792452830189	white
kallisto	#00FF00	Drosophila	0.05	[ 4,10) (n = 1366, n.ds = 406)	0.129032258064516	0.598522167487685	white
kallisto	#00FF00	Drosophila	0.05	[10,74] (n = 181, n.ds = 64)	0.387755102040816	0.46875	white
kallisto	#00FF00	Drosophila	0.1	[ 2, 4) (n = 3890, n.ds = 530)	0.16629711751663	0.709433962264151	white
kallisto	#00FF00	Drosophila	0.1	[ 4,10) (n = 1366, n.ds = 406)	0.173633440514469	0.633004926108374	white
kallisto	#00FF00	Drosophila	0.1	[10,74] (n = 181, n.ds = 64)	0.410714285714286	0.515625	white
MISO	#0072B2	Drosophila	0.01	[ 2, 4) (n = 3890, n.ds = 530)	0.0753246753246753	0.671698113207547	white
MISO	#0072B2	Drosophila	0.01	[ 4,10) (n = 1366, n.ds = 406)	0.115523465703971	0.603448275862069	white
MISO	#0072B2	Drosophila	0.01	[10,74] (n = 181, n.ds = 64)	0.234042553191489	0.5625	white
MISO	#0072B2	Drosophila	0.05	[ 2, 4) (n = 3890, n.ds = 530)	0.12962962962963	0.709433962264151	white
