method_name	method_col	method_pch	organism	threshold	L1	FDR	TPR	fill_color
casper	casper	complete	Human	0.01	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.24375	0.376360808709176	white
casper	casper	complete	Human	0.01	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper	casper	complete	Human	0.01	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.360655737704918	#000000
casper	casper	complete	Human	0.01	2 ds. 0 rem (n = 2, n.ds = 2)	0	0.5	#000000
casper	casper	complete	Human	0.01	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper	casper	complete	Human	0.01	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.342105263157895	#000000
casper	casper	complete	Human	0.05	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.349753694581281	0.410575427682737	white
casper	casper	complete	Human	0.05	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper	casper	complete	Human	0.05	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.390163934426229	#000000
casper	casper	complete	Human	0.05	2 ds. 0 rem (n = 2, n.ds = 2)	0	0.5	#000000
casper	casper	complete	Human	0.05	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper	casper	complete	Human	0.05	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.368421052631579	#000000
casper	casper	complete	Human	0.1	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.428274428274428	0.427682737169518	white
casper	casper	complete	Human	0.1	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper	casper	complete	Human	0.1	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.40327868852459	#000000
casper	casper	complete	Human	0.1	2 ds. 0 rem (n = 2, n.ds = 2)	0	0.5	#000000
casper	casper	complete	Human	0.1	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper	casper	complete	Human	0.1	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.421052631578947	#000000
casper, incomplete	casper	incomplete	Human	0.01	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.216867469879518	0.404354587869362	white
casper, incomplete	casper	incomplete	Human	0.01	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper, incomplete	casper	incomplete	Human	0.01	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.347540983606557	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.368421052631579	#000000
casper, incomplete	casper	incomplete	Human	0.05	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.3125	0.444790046656299	white
casper, incomplete	casper	incomplete	Human	0.05	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper, incomplete	casper	incomplete	Human	0.05	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.373770491803279	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.447368421052632	#000000
casper, incomplete	casper	incomplete	Human	0.1	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.376569037656904	0.463452566096423	white
casper, incomplete	casper	incomplete	Human	0.1	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#000000
casper, incomplete	casper	incomplete	Human	0.1	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.39344262295082	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.447368421052632	#000000
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.284351145038168	0.583203732503888	white
DEXSeq-default	DEXSeq-default	complete	Human	0.01	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.560655737704918	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.526315789473684	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.396369137670197	0.620528771384137	white
DEXSeq-default	DEXSeq-default	complete	Human	0.05	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.59672131147541	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.666666666666667	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.578947368421053	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.470967741935484	0.637636080870918	white
DEXSeq-default	DEXSeq-default	complete	Human	0.1	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.619672131147541	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.666666666666667	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.605263157894737	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.264478764478765	0.59253499222395	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.550819672131148	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.526315789473684	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.373456790123457	0.631415241057543	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.586885245901639	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.552631578947368	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.447957839262187	0.651632970451011	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.444444444444444	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.6	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	2 ds. 0 rem (n = 2, n.ds = 2)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.1	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.578947368421053	#F0E442
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.296979865771812	0.651632970451011	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.555555555555556	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.636065573770492	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.333333333333333	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.578947368421053	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.401606425702811	0.695178849144635	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.555555555555556	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.678688524590164	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	2 ds. 1 rem (n = 3, n.ds = 3)	0	0.666666666666667	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	2 ds.[ 2,69] rem (n = 38, n.ds = 38)	0	0.631578947368421	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.1	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)	0.475540386803185	0.716951788491446	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.1	1 ds. 1 rem (n = 9, n.ds = 9)	0	0.555555555555556	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.1	1 ds.[ 2,69] rem (n = 305, n.ds = 305)	0	0.701639344262295	#009E73
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.1	2 ds. 0 rem (n = 2, n.ds = 2)	0	1	#009E73
