method_name	method_col	method_pch	organism	threshold	L1	FDR	TPR	fill_color
casper	casper	complete	Drosophila	0.01	0 ds. 0 nonds (n = 9615, n.ds = 444)	0.0611111111111111	0.380630630630631	white
casper	casper	complete	Drosophila	0.01	0 ds. 1 nonds (n = 3347, n.ds = 125)	0.0655737704918033	0.456	white
casper	casper	complete	Drosophila	0.01	0 ds.[ 2,20] nonds (n = 618, n.ds = 74)	0.111111111111111	0.324324324324324	white
casper	casper	complete	Drosophila	0.01	1 ds. 0 nonds (n = 227, n.ds = 227)	0	0.352422907488987	#000000
casper	casper	complete	Drosophila	0.01	1 ds. 1 nonds (n = 59, n.ds = 59)	0	0.389830508474576	#000000
casper	casper	complete	Drosophila	0.01	1 ds.[ 2,20] nonds (n = 28, n.ds = 28)	0	0.392857142857143	#000000
casper	casper	complete	Drosophila	0.01	2 ds. 0 nonds (n = 32, n.ds = 32)	0	0.46875	#000000
casper	casper	complete	Drosophila	0.01	2 ds. 1 nonds (n = 8, n.ds = 8)	0	0.25	#000000
casper	casper	complete	Drosophila	0.01	2 ds.[ 2,20] nonds (n = 3, n.ds = 3)	NA	0	#000000
casper	casper	complete	Drosophila	0.05	0 ds. 0 nonds (n = 9615, n.ds = 444)	0.100961538461538	0.421171171171171	white
casper	casper	complete	Drosophila	0.05	0 ds. 1 nonds (n = 3347, n.ds = 125)	0.166666666666667	0.48	white
casper	casper	complete	Drosophila	0.05	0 ds.[ 2,20] nonds (n = 618, n.ds = 74)	0.228571428571429	0.364864864864865	white
casper	casper	complete	Drosophila	0.05	1 ds. 0 nonds (n = 227, n.ds = 227)	0	0.387665198237885	#000000
casper	casper	complete	Drosophila	0.05	1 ds. 1 nonds (n = 59, n.ds = 59)	0	0.423728813559322	#000000
casper	casper	complete	Drosophila	0.05	1 ds.[ 2,20] nonds (n = 28, n.ds = 28)	0	0.5	#000000
casper	casper	complete	Drosophila	0.05	2 ds. 0 nonds (n = 32, n.ds = 32)	0	0.5625	#000000
casper	casper	complete	Drosophila	0.05	2 ds. 1 nonds (n = 8, n.ds = 8)	0	0.25	#000000
casper	casper	complete	Drosophila	0.05	2 ds.[ 2,20] nonds (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper	casper	complete	Drosophila	0.1	0 ds. 0 nonds (n = 9615, n.ds = 444)	0.157205240174672	0.434684684684685	white
casper	casper	complete	Drosophila	0.1	0 ds. 1 nonds (n = 3347, n.ds = 125)	0.234567901234568	0.496	white
casper	casper	complete	Drosophila	0.1	0 ds.[ 2,20] nonds (n = 618, n.ds = 74)	0.382978723404255	0.391891891891892	white
casper	casper	complete	Drosophila	0.1	1 ds. 0 nonds (n = 227, n.ds = 227)	0	0.418502202643172	#000000
casper	casper	complete	Drosophila	0.1	1 ds. 1 nonds (n = 59, n.ds = 59)	0	0.457627118644068	#000000
casper	casper	complete	Drosophila	0.1	1 ds.[ 2,20] nonds (n = 28, n.ds = 28)	0	0.5	#000000
casper	casper	complete	Drosophila	0.1	2 ds. 0 nonds (n = 32, n.ds = 32)	0	0.5625	#000000
casper	casper	complete	Drosophila	0.1	2 ds. 1 nonds (n = 8, n.ds = 8)	0	0.25	#000000
casper	casper	complete	Drosophila	0.1	2 ds.[ 2,20] nonds (n = 3, n.ds = 3)	0	0.333333333333333	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	0 ds. 0 nonds (n = 9615, n.ds = 444)	0.0585106382978723	0.398648648648649	white
casper, incomplete	casper	incomplete	Drosophila	0.01	0 ds. 1 nonds (n = 3347, n.ds = 125)	0.0923076923076923	0.472	white
casper, incomplete	casper	incomplete	Drosophila	0.01	0 ds.[ 2,20] nonds (n = 618, n.ds = 74)	0.142857142857143	0.324324324324324	white
casper, incomplete	casper	incomplete	Drosophila	0.01	1 ds. 0 nonds (n = 227, n.ds = 227)	0	0.259911894273128	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	1 ds. 1 nonds (n = 59, n.ds = 59)	0	0.305084745762712	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	1 ds.[ 2,20] nonds (n = 28, n.ds = 28)	0	0.428571428571429	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	2 ds. 0 nonds (n = 32, n.ds = 32)	0	0.1875	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	2 ds. 1 nonds (n = 8, n.ds = 8)	0	0.125	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	2 ds.[ 2,20] nonds (n = 3, n.ds = 3)	0	0.333333333333333	#000000
