method_name	method_col	method_pch	organism	threshold	L1	FDR	TPR	fill_color
casper	casper	complete	Human	0.01	0 ds. 0 nonds (n = 7299)	0.208791208791209	0.418604651162791	white
casper	casper	complete	Human	0.01	0 ds. 1 nonds (n = 5735)	0.113924050632911	0.406976744186047	white
casper	casper	complete	Human	0.01	0 ds.[ 2,17] nonds (n = 7019)	0.333333333333333	0.334448160535117	white
casper	casper	complete	Human	0.01	1 ds. 0 nonds (n = 81)	0	0.469135802469136	#000000
casper	casper	complete	Human	0.01	1 ds. 1 nonds (n = 90)	0	0.311111111111111	#000000
casper	casper	complete	Human	0.01	1 ds.[ 2,17] nonds (n = 143)	0	0.335664335664336	#000000
casper	casper	complete	Human	0.01	2 ds. 0 nonds (n = 9)	0	0.444444444444444	#000000
casper	casper	complete	Human	0.01	2 ds. 1 nonds (n = 14)	0	0.357142857142857	#000000
casper	casper	complete	Human	0.01	2 ds.[ 2,17] nonds (n = 20)	0	0.3	#000000
casper	casper	complete	Human	0.05	0 ds. 0 nonds (n = 7299)	0.225490196078431	0.459302325581395	white
casper	casper	complete	Human	0.05	0 ds. 1 nonds (n = 5735)	0.254901960784314	0.441860465116279	white
casper	casper	complete	Human	0.05	0 ds.[ 2,17] nonds (n = 7019)	0.46039603960396	0.364548494983278	white
casper	casper	complete	Human	0.05	1 ds. 0 nonds (n = 81)	0	0.506172839506173	#000000
casper	casper	complete	Human	0.05	1 ds. 1 nonds (n = 90)	0	0.344444444444444	#000000
casper	casper	complete	Human	0.05	1 ds.[ 2,17] nonds (n = 143)	0	0.356643356643357	#000000
casper	casper	complete	Human	0.05	2 ds. 0 nonds (n = 9)	0	0.555555555555556	#000000
casper	casper	complete	Human	0.05	2 ds. 1 nonds (n = 14)	0	0.357142857142857	#000000
casper	casper	complete	Human	0.05	2 ds.[ 2,17] nonds (n = 20)	0	0.3	#000000
casper	casper	complete	Human	0.1	0 ds. 0 nonds (n = 7299)	0.281818181818182	0.459302325581395	white
casper	casper	complete	Human	0.1	0 ds. 1 nonds (n = 5735)	0.363636363636364	0.447674418604651	white
casper	casper	complete	Human	0.1	0 ds.[ 2,17] nonds (n = 7019)	0.527777777777778	0.397993311036789	white
casper	casper	complete	Human	0.1	1 ds. 0 nonds (n = 81)	0	0.530864197530864	#000000
casper	casper	complete	Human	0.1	1 ds. 1 nonds (n = 90)	0	0.355555555555556	#000000
casper	casper	complete	Human	0.1	1 ds.[ 2,17] nonds (n = 143)	0	0.363636363636364	#000000
casper	casper	complete	Human	0.1	2 ds. 0 nonds (n = 9)	0	0.666666666666667	#000000
casper	casper	complete	Human	0.1	2 ds. 1 nonds (n = 14)	0	0.357142857142857	#000000
casper	casper	complete	Human	0.1	2 ds.[ 2,17] nonds (n = 20)	0	0.35	#000000
casper, incomplete	casper	incomplete	Human	0.01	0 ds. 0 nonds (n = 7299)	0.202127659574468	0.436046511627907	white
casper, incomplete	casper	incomplete	Human	0.01	0 ds. 1 nonds (n = 5735)	0.0930232558139535	0.453488372093023	white
casper, incomplete	casper	incomplete	Human	0.01	0 ds.[ 2,17] nonds (n = 7019)	0.296052631578947	0.357859531772575	white
casper, incomplete	casper	incomplete	Human	0.01	1 ds. 0 nonds (n = 81)	0	0.407407407407407	#000000
casper, incomplete	casper	incomplete	Human	0.01	1 ds. 1 nonds (n = 90)	0	0.333333333333333	#000000
casper, incomplete	casper	incomplete	Human	0.01	1 ds.[ 2,17] nonds (n = 143)	0	0.328671328671329	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds. 0 nonds (n = 9)	0	0.555555555555556	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds. 1 nonds (n = 14)	0	0.285714285714286	#000000
casper, incomplete	casper	incomplete	Human	0.01	2 ds.[ 2,17] nonds (n = 20)	0	0.3	#000000
casper, incomplete	casper	incomplete	Human	0.05	0 ds. 0 nonds (n = 7299)	0.216981132075472	0.482558139534884	white
casper, incomplete	casper	incomplete	Human	0.05	0 ds. 1 nonds (n = 5735)	0.240740740740741	0.476744186046512	white
casper, incomplete	casper	incomplete	Human	0.05	0 ds.[ 2,17] nonds (n = 7019)	0.400990099009901	0.404682274247492	white
casper, incomplete	casper	incomplete	Human	0.05	1 ds. 0 nonds (n = 81)	0	0.481481481481481	#000000
casper, incomplete	casper	incomplete	Human	0.05	1 ds. 1 nonds (n = 90)	0	0.344444444444444	#000000
casper, incomplete	casper	incomplete	Human	0.05	1 ds.[ 2,17] nonds (n = 143)	0	0.335664335664336	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds. 0 nonds (n = 9)	0	0.777777777777778	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds. 1 nonds (n = 14)	0	0.357142857142857	#000000
casper, incomplete	casper	incomplete	Human	0.05	2 ds.[ 2,17] nonds (n = 20)	0	0.3	#000000
casper, incomplete	casper	incomplete	Human	0.1	0 ds. 0 nonds (n = 7299)	0.269565217391304	0.488372093023256	white
casper, incomplete	casper	incomplete	Human	0.1	0 ds. 1 nonds (n = 5735)	0.328	0.488372093023256	white
casper, incomplete	casper	incomplete	Human	0.1	0 ds.[ 2,17] nonds (n = 7019)	0.453781512605042	0.434782608695652	white
casper, incomplete	casper	incomplete	Human	0.1	1 ds. 0 nonds (n = 81)	0	0.493827160493827	#000000
casper, incomplete	casper	incomplete	Human	0.1	1 ds. 1 nonds (n = 90)	0	0.377777777777778	#000000
casper, incomplete	casper	incomplete	Human	0.1	1 ds.[ 2,17] nonds (n = 143)	0	0.34965034965035	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds. 0 nonds (n = 9)	0	0.777777777777778	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds. 1 nonds (n = 14)	0	0.357142857142857	#000000
casper, incomplete	casper	incomplete	Human	0.1	2 ds.[ 2,17] nonds (n = 20)	0	0.3	#000000
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0 ds. 0 nonds (n = 7299)	0.162790697674419	0.627906976744186	white
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0 ds. 1 nonds (n = 5735)	0.159090909090909	0.645348837209302	white
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0 ds.[ 2,17] nonds (n = 7019)	0.409090909090909	0.521739130434783	white
DEXSeq-default	DEXSeq-default	complete	Human	0.01	1 ds. 0 nonds (n = 81)	0	0.617283950617284	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	1 ds. 1 nonds (n = 90)	0	0.544444444444444	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	1 ds.[ 2,17] nonds (n = 143)	0	0.531468531468531	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds. 0 nonds (n = 9)	0	0.666666666666667	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds. 1 nonds (n = 14)	0	0.571428571428571	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.01	2 ds.[ 2,17] nonds (n = 20)	0	0.45	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0 ds. 0 nonds (n = 7299)	0.236486486486486	0.656976744186046	white
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0 ds. 1 nonds (n = 5735)	0.289156626506024	0.686046511627907	white
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0 ds.[ 2,17] nonds (n = 7019)	0.517241379310345	0.561872909698997	white
DEXSeq-default	DEXSeq-default	complete	Human	0.05	1 ds. 0 nonds (n = 81)	0	0.62962962962963	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	1 ds. 1 nonds (n = 90)	0	0.577777777777778	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	1 ds.[ 2,17] nonds (n = 143)	0	0.58041958041958	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds. 0 nonds (n = 9)	0	0.777777777777778	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds. 1 nonds (n = 14)	0	0.642857142857143	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.05	2 ds.[ 2,17] nonds (n = 20)	0	0.5	#F0E442
DEXSeq-default	DEXSeq-default	complete	Human	0.1	0 ds. 0 nonds (n = 7299)	0.291925465838509	0.662790697674419	white
