method_name	method_col	method_pch	organism	threshold	L1	FDR	TPR	fill_color
casper	casper	complete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	0	0.5	#000000
casper	casper	complete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.0625	0.397350993377483	white
casper	casper	complete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0428134556574924	0.375750300120048	white
casper	casper	complete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	0.166666666666667	0.625	white
casper	casper	complete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.072463768115942	0.423841059602649	white
casper	casper	complete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.0890052356020942	0.417767106842737	white
casper	casper	complete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	0.166666666666667	0.625	white
casper	casper	complete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.170731707317073	0.450331125827815	white
casper	casper	complete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.135714285714286	0.43577430972389	white
casper, incomplete	casper	incomplete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	NA	0	#000000
casper, incomplete	casper	incomplete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.113636363636364	0.258278145695364	white
casper, incomplete	casper	incomplete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0479041916167665	0.381752701080432	white
casper, incomplete	casper	incomplete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	NA	0	#000000
casper, incomplete	casper	incomplete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.148936170212766	0.264900662251656	white
casper, incomplete	casper	incomplete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.0861618798955614	0.420168067226891	white
casper, incomplete	casper	incomplete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	NA	0	#000000
casper, incomplete	casper	incomplete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.254545454545455	0.271523178807947	white
casper, incomplete	casper	incomplete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.127659574468085	0.442977190876351	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	0.133333333333333	0.8125	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.0520833333333333	0.602649006622517	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.11090573012939	0.577430972388956	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	0.133333333333333	0.8125	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.1	0.655629139072848	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.156765676567657	0.613445378151261	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	0.133333333333333	0.8125	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.15	0.675496688741722	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.193353474320242	0.641056422569028	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.0909090909090909	0.264900662251656	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.104364326375712	0.566626650660264	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.16	0.278145695364238	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.159128978224456	0.602641056422569	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	NA	0	#F0E442
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.224137931034483	0.298013245033113	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.189147286821705	0.627851140456183	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	0.125	0.875	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.0495049504950495	0.635761589403974	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.116928446771379	0.607442977190876	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	0.125	0.875	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.0964912280701754	0.682119205298013	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.161490683229814	0.648259303721489	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	0.117647058823529	0.9375	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.152	0.701986754966887	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.204802259887006	0.675870348139256	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	NA	0	#009E73
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.0487804878048781	0.258278145695364	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0764818355640535	0.579831932773109	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	NA	0	#009E73
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.0851063829787234	0.28476821192053	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.125	0.605042016806723	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	NA	0	#009E73
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.150943396226415	0.298013245033113	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.154220779220779	0.625450180072029	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	0.411764705882353	0.625	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.2	0.423841059602649	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0829383886255924	0.464585834333734	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	0.411764705882353	0.625	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.261363636363636	0.43046357615894	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.12847965738758	0.48859543817527	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	0.411764705882353	0.625	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.306122448979592	0.450331125827815	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.142284569138277	0.513805522208884	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	NA	0	#56B4E9
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.267857142857143	0.271523178807947	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0813397129186603	0.460984393757503	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	NA	0	#56B4E9
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.328125	0.28476821192053	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	[ 2,54] (n = 4265, n.ds = 833)	0.118790496760259	0.489795918367347	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.1	 0 (n = 1799, n.ds = 16)	NA	0	#56B4E9
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.1	 1 (n = 7873, n.ds = 151)	0.391891891891892	0.298013245033113	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.1	[ 2,54] (n = 4265, n.ds = 833)	0.138775510204082	0.506602641056423	white
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.01	 0 (n = 1799, n.ds = 16)	0.125	0.875	white
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.01	 1 (n = 7873, n.ds = 151)	0.03125	0.615894039735099	white
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.01	[ 2,54] (n = 4265, n.ds = 833)	0.0803738317757009	0.590636254501801	white
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.05	 0 (n = 1799, n.ds = 16)	0.125	0.875	white
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.05	 1 (n = 7873, n.ds = 151)	0.0476190476190476	0.662251655629139	#E69F00
