method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
DEXSeq-noaggreg	#009E73	Drosophila	0.01	(n = 13937)	0.107246376811594	0.627930682976555	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	(n = 13937)	0.151162790697674	0.669724770642202	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	(n = 13937)	0.195294117647059	0.697247706422018	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	(n = 13937)	0.0533536585365854	0.631739572736521	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	(n = 13937)	0.096336499321574	0.677517802644964	white
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	(n = 13937)	0.128498727735369	0.696846388606307	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	(n = 13937)	0.0337620578778135	0.611393692777213	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	(n = 13937)	0.0590841949778434	0.648016276703967	white
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	(n = 13937)	0.0807799442896936	0.671414038657172	#56B4E9
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	(n = 13937)	0.0212418300653595	0.62008281573499	white
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	(n = 13937)	0.040785498489426	0.657349896480331	#0072B2
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.1	(n = 13937)	0.0597439544807966	0.684265010351967	#0072B2
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	(n = 13937)	0.0563380281690141	0.614052953156823	white
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	(n = 13937)	0.0914285714285714	0.647657841140529	white
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	(n = 13937)	0.111413043478261	0.665987780040733	white
DEXSeq-noaggreg	#009E73	Human	0.01	(n = 20410)	0.216808769792935	0.643643643643644	white
DEXSeq-noaggreg	#009E73	Human	0.05	(n = 20410)	0.304655870445344	0.687687687687688	white
DEXSeq-noaggreg	#009E73	Human	0.1	(n = 20410)	0.37145390070922	0.70970970970971	white
DEXSeq-noaggreg (>10%)	#E69F00	Human	0.01	(n = 20410)	0.0939226519337017	0.657314629258517	white
DEXSeq-noaggreg (>10%)	#E69F00	Human	0.05	(n = 20410)	0.147420147420147	0.695390781563126	white
DEXSeq-noaggreg (>10%)	#E69F00	Human	0.1	(n = 20410)	0.184421534936999	0.713426853707415	white
DEXSeq-noaggreg (>15%)	#56B4E9	Human	0.01	(n = 20410)	0.0808926080892608	0.66098294884654	white
DEXSeq-noaggreg (>15%)	#56B4E9	Human	0.05	(n = 20410)	0.129675810473815	0.700100300902708	white
DEXSeq-noaggreg (>15%)	#56B4E9	Human	0.1	(n = 20410)	0.159811985898942	0.717151454363089	white
DEXSeq-noaggreg (>25%)	#0072B2	Human	0.01	(n = 20410)	0.0516499282639885	0.669706180344478	white
DEXSeq-noaggreg (>25%)	#0072B2	Human	0.05	(n = 20410)	0.0943152454780362	0.710233029381966	white
DEXSeq-noaggreg (>25%)	#0072B2	Human	0.1	(n = 20410)	0.130592503022975	0.728470111448835	white
DEXSeq-noaggreg (>5%)	#000000	Human	0.01	(n = 20410)	0.112771739130435	0.654308617234469	white
DEXSeq-noaggreg (>5%)	#000000	Human	0.05	(n = 20410)	0.175837320574163	0.690380761523046	white
DEXSeq-noaggreg (>5%)	#000000	Human	0.1	(n = 20410)	0.227668845315904	0.710420841683367	white
