method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
DEXSeq-noaggreg	#009E73	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.107246376811594	0.616	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.151162790697674	0.657	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.195294117647059	0.684	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.100436681222707	0.618	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.14453125	0.657	white
DEXSeq-noaggreg (f1)	#56B4E9	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.193624557260921	0.683	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0535714285714286	0.583	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.086053412462908	0.616	white
DEXSeq-noaggreg (f2)	#0072B2	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.102272727272727	0.632	white
DEXSeq-noaggreg (f3)	#D55E00	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0390492359932088	0.566	white
DEXSeq-noaggreg (f3)	#D55E00	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.0648148148148148	0.606	white
DEXSeq-noaggreg (f3)	#D55E00	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.0806451612903226	0.627	#D55E00
DEXSeq-noaggreg (f4)	#CC79A7	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0725075528700906	0.614	white
DEXSeq-noaggreg (f4)	#CC79A7	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.116778523489933	0.658	white
DEXSeq-noaggreg (f4)	#CC79A7	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.167686658506732	0.68	white
DEXSeq-noaggreg (f5)	#00FF00	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0721966205837174	0.604	white
