method_name	method_col	method_pch	organism	threshold	L1	FDR	TPR	fill_color
casper	casper	complete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0451127819548872	0.381	white
casper	casper	complete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.0885529157667387	0.422	white
casper	casper	complete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.142023346303502	0.441	white
casper, incomplete	casper	incomplete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.0555555555555556	0.357	white
casper, incomplete	casper	incomplete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.0930232558139535	0.39	white
casper, incomplete	casper	incomplete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.142259414225941	0.41	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.102760736196319	0.585	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.147742818057456	0.623	white
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.185696361355082	0.649	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.103327495621716	0.512	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.15919629057187	0.544	white
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.19203413940256	0.568	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.107246376811594	0.616	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.151162790697674	0.657	white
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.195294117647059	0.684	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.074468085106383	0.522	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.12199036918138	0.547	white
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.153961136023916	0.566	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.111753371868979	0.461	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.157342657342657	0.482	white
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.175895765472313	0.506	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	(n = 13937, n.ds = 1000)	0.10337552742616	0.425	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	(n = 13937, n.ds = 1000)	0.144212523719165	0.451	white
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.1	(n = 13937, n.ds = 1000)	0.171985815602837	0.467	white
