method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
casper	#000000	Drosophila	0.01	(n = 13937)	0.0451127819548872	0.507323568575233	white
casper	#000000	Drosophila	0.05	(n = 13937)	0.0885529157667387	0.561917443408788	white
casper	#000000	Drosophila	0.1	(n = 13937)	0.142023346303502	0.587217043941411	white
cuffdiff	#72B20C	Drosophila	0.01	(n = 13937)	0	0.169473684210526	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	(n = 13937)	0	0.203157894736842	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	(n = 13937)	0	0.213684210526316	#72B20C
DEXSeq-default	#F0E442	Drosophila	0.01	(n = 13937)	0.102760736196319	0.624332977588047	white
DEXSeq-default	#F0E442	Drosophila	0.05	(n = 13937)	0.147742818057456	0.664887940234792	white
DEXSeq-default	#F0E442	Drosophila	0.1	(n = 13937)	0.185696361355082	0.692636072572038	white
DEXSeq-noaggreg	#009E73	Drosophila	0.01	(n = 13937)	0.107246376811594	0.627930682976555	white
DEXSeq-noaggreg	#009E73	Drosophila	0.05	(n = 13937)	0.151162790697674	0.669724770642202	white
DEXSeq-noaggreg	#009E73	Drosophila	0.1	(n = 13937)	0.195294117647059	0.697247706422018	white
featureCounts-exon	#56B4E9	Drosophila	0.01	(n = 13937)	0.111753371868979	0.461461461461461	white
featureCounts-exon	#56B4E9	Drosophila	0.05	(n = 13937)	0.157342657342657	0.482482482482482	white
featureCounts-exon	#56B4E9	Drosophila	0.1	(n = 13937)	0.175895765472313	0.506506506506507	white
featureCounts-flat	#E69F00	Drosophila	0.01	(n = 13937)	0.0741885625965997	0.610601427115189	white
featureCounts-flat	#E69F00	Drosophila	0.05	(n = 13937)	0.119610570236439	0.645259938837921	white
featureCounts-flat	#E69F00	Drosophila	0.1	(n = 13937)	0.14621409921671	0.666666666666667	white
kallisto	#00FF00	Drosophila	0.01	(n = 13937)	0.102102102102102	0.598598598598599	white
kallisto	#00FF00	Drosophila	0.05	(n = 13937)	0.143817204301075	0.637637637637638	white
kallisto	#00FF00	Drosophila	0.1	(n = 13937)	0.185819070904645	0.666666666666667	white
MISO	#0072B2	Drosophila	0.01	(n = 13937)	0.101551480959097	0.646700507614213	white
MISO	#0072B2	Drosophila	0.05	(n = 13937)	0.16156670746634	0.695431472081218	white
MISO	#0072B2	Drosophila	0.1	(n = 13937)	0.205816554809843	0.720812182741117	white
rMATS	#7B0077	Drosophila	0.01	(n = 13937)	0.178461538461538	0.432739059967585	white
rMATS	#7B0077	Drosophila	0.05	(n = 13937)	0.237373737373737	0.489465153970827	white
rMATS	#7B0077	Drosophila	0.1	(n = 13937)	0.283783783783784	0.515397082658023	white
SplicingGraph	#D55E00	Drosophila	0.01	(n = 13937)	0.075	0.593186372745491	white
SplicingGraph	#D55E00	Drosophila	0.05	(n = 13937)	0.122392211404729	0.632264529058116	white
SplicingGraph	#D55E00	Drosophila	0.1	(n = 13937)	0.164294954721863	0.647294589178357	white
TopHat-junctions	#CC79A7	Drosophila	0.01	(n = 13937)	0.0826771653543307	0.491561181434599	white
TopHat-junctions	#CC79A7	Drosophila	0.05	(n = 13937)	0.134228187919463	0.544303797468354	white
TopHat-junctions	#CC79A7	Drosophila	0.1	(n = 13937)	0.171471927162367	0.575949367088608	white
casper	#000000	Human	0.01	(n = 20410)	0.173719376391982	0.562121212121212	white
casper	#000000	Human	0.05	(n = 20410)	0.260550458715596	0.610606060606061	white
casper	#000000	Human	0.1	(n = 20410)	0.331210191082803	0.636363636363636	white
cuffdiff	#72B20C	Human	0.01	(n = 20410)	0	0.128668171557562	#72B20C
cuffdiff	#72B20C	Human	0.05	(n = 20410)	0	0.160270880361174	#72B20C
cuffdiff	#72B20C	Human	0.1	(n = 20410)	0	0.179458239277652	#72B20C
DEXSeq-default	#F0E442	Human	0.01	(n = 20410)	0.20746887966805	0.644544431946007	white
DEXSeq-default	#F0E442	Human	0.05	(n = 20410)	0.30091533180778	0.687289088863892	white
DEXSeq-default	#F0E442	Human	0.1	(n = 20410)	0.367469879518072	0.708661417322835	white
DEXSeq-noaggreg	#009E73	Human	0.01	(n = 20410)	0.216808769792935	0.643643643643644	white
DEXSeq-noaggreg	#009E73	Human	0.05	(n = 20410)	0.304655870445344	0.687687687687688	white
DEXSeq-noaggreg	#009E73	Human	0.1	(n = 20410)	0.37145390070922	0.70970970970971	white
featureCounts-exon	#56B4E9	Human	0.01	(n = 20410)	0.166184971098266	0.577	white
featureCounts-exon	#56B4E9	Human	0.05	(n = 20410)	0.22264631043257	0.611	white
featureCounts-exon	#56B4E9	Human	0.1	(n = 20410)	0.243080625752106	0.629	white
featureCounts-flat	#E69F00	Human	0.01	(n = 20410)	0.215496368038741	0.648648648648649	white
featureCounts-flat	#E69F00	Human	0.05	(n = 20410)	0.305835010060362	0.690690690690691	white
featureCounts-flat	#E69F00	Human	0.1	(n = 20410)	0.37037037037037	0.714714714714715	white
kallisto	#00FF00	Human	0.01	(n = 20410)	0.355121951219512	0.661	white
kallisto	#00FF00	Human	0.05	(n = 20410)	0.482733284349743	0.704	white
kallisto	#00FF00	Human	0.1	(n = 20410)	0.550957381099444	0.727	white
MISO	#0072B2	Human	0.01	(n = 20410)	0.260964912280702	0.674	white
