method_name	method_col	organism	threshold	L1	FDR	TPR	fill_color
cuffdiff	#72B20C	Drosophila	0.01	(n = 13937)	0	0.169473684210526	#72B20C
cuffdiff	#72B20C	Drosophila	0.05	(n = 13937)	0	0.203157894736842	#72B20C
cuffdiff	#72B20C	Drosophila	0.1	(n = 13937)	0	0.213684210526316	#72B20C
cuffdiff-exon	#56B4E9	Drosophila	0.01	(n = 13937)	0.00393700787401575	0.266315789473684	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.05	(n = 13937)	0.0032258064516129	0.325263157894737	#56B4E9
cuffdiff-exon	#56B4E9	Drosophila	0.1	(n = 13937)	0.00303030303030303	0.346315789473684	#56B4E9
cuffdiff	#72B20C	Human	0.01	(n = 20410)	0	0.128233970753656	#72B20C
cuffdiff	#72B20C	Human	0.05	(n = 20410)	0	0.159730033745782	#72B20C
cuffdiff	#72B20C	Human	0.1	(n = 20410)	0	0.178852643419573	#72B20C
cuffdiff-exon	#56B4E9	Human	0.01	(n = 20410)	0	0.182022471910112	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.05	(n = 20410)	0	0.225842696629213	#56B4E9
cuffdiff-exon	#56B4E9	Human	0.1	(n = 20410)	0	0.255056179775281	#56B4E9
