method_name	method_col	organism	threshold	TPR	L1
DEXSeq-default	#F0E442	Drosophila	0.01	0.652	high (n = 3760)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.694	high (n = 3760)
featureCounts-flat	#E69F00	Drosophila	0.01	0.672	high (n = 3760)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.526	high (n = 3760)
casper	#000000	Drosophila	0.01	0.464	high (n = 3760)
MISO	#0072B2	Drosophila	0.01	0.702	high (n = 3760)
SplicingGraph	#D55E00	Drosophila	0.01	0.666	high (n = 3760)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.526	high (n = 3760)
kallisto	#00FF00	Drosophila	0.01	0.634	high (n = 3760)
cuffdiff	#72B20C	Drosophila	0.01	0.152	high (n = 3760)
rMATS	#7B0077	Drosophila	0.01	0.292	high (n = 3760)
DEXSeq-default	#F0E442	Drosophila	0.05	0.68	high (n = 3760)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.724	high (n = 3760)
featureCounts-flat	#E69F00	Drosophila	0.05	0.706	high (n = 3760)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.548	high (n = 3760)
casper	#000000	Drosophila	0.05	0.502	high (n = 3760)
MISO	#0072B2	Drosophila	0.05	0.744	high (n = 3760)
SplicingGraph	#D55E00	Drosophila	0.05	0.704	high (n = 3760)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.56	high (n = 3760)
kallisto	#00FF00	Drosophila	0.05	0.682	high (n = 3760)
cuffdiff	#72B20C	Drosophila	0.05	0.186	high (n = 3760)
rMATS	#7B0077	Drosophila	0.05	0.328	high (n = 3760)
DEXSeq-default	#F0E442	Drosophila	0.1	0.712	high (n = 3760)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.758	high (n = 3760)
featureCounts-flat	#E69F00	Drosophila	0.1	0.72	high (n = 3760)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.57	high (n = 3760)
casper	#000000	Drosophila	0.1	0.514	high (n = 3760)
MISO	#0072B2	Drosophila	0.1	0.768	high (n = 3760)
SplicingGraph	#D55E00	Drosophila	0.1	0.72	high (n = 3760)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.586	high (n = 3760)
kallisto	#00FF00	Drosophila	0.1	0.714	high (n = 3760)
cuffdiff	#72B20C	Drosophila	0.1	0.196	high (n = 3760)
rMATS	#7B0077	Drosophila	0.1	0.346	high (n = 3760)
DEXSeq-default	#F0E442	Drosophila	0.01	0.518	low (n = 10177)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.538	low (n = 10177)
featureCounts-flat	#E69F00	Drosophila	0.01	0.526	low (n = 10177)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.396	low (n = 10177)
