method_name	method_col	organism	threshold	TPR	L1
casper	#000000	Drosophila	0.01	0.340909090909091	alternative acceptors (n = 88)
DEXSeq-default	#F0E442	Drosophila	0.01	0.522727272727273	alternative acceptors (n = 88)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.534090909090909	alternative acceptors (n = 88)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.147727272727273	alternative acceptors (n = 88)
featureCounts-flat	#E69F00	Drosophila	0.01	0.534090909090909	alternative acceptors (n = 88)
kallisto	#00FF00	Drosophila	0.01	0.613636363636364	alternative acceptors (n = 88)
MISO	#0072B2	Drosophila	0.01	0.625	alternative acceptors (n = 88)
SplicingGraph	#D55E00	Drosophila	0.01	0.579545454545455	alternative acceptors (n = 88)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.602272727272727	alternative acceptors (n = 88)
cuffdiff	#72B20C	Drosophila	0.01	0.306818181818182	alternative acceptors (n = 88)
rMATS	#7B0077	Drosophila	0.01	0.613636363636364	alternative acceptors (n = 88)
casper	#000000	Drosophila	0.05	0.397727272727273	alternative acceptors (n = 88)
DEXSeq-default	#F0E442	Drosophila	0.05	0.579545454545455	alternative acceptors (n = 88)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.590909090909091	alternative acceptors (n = 88)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.159090909090909	alternative acceptors (n = 88)
featureCounts-flat	#E69F00	Drosophila	0.05	0.545454545454545	alternative acceptors (n = 88)
kallisto	#00FF00	Drosophila	0.05	0.636363636363636	alternative acceptors (n = 88)
MISO	#0072B2	Drosophila	0.05	0.681818181818182	alternative acceptors (n = 88)
SplicingGraph	#D55E00	Drosophila	0.05	0.647727272727273	alternative acceptors (n = 88)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.625	alternative acceptors (n = 88)
cuffdiff	#72B20C	Drosophila	0.05	0.318181818181818	alternative acceptors (n = 88)
rMATS	#7B0077	Drosophila	0.05	0.636363636363636	alternative acceptors (n = 88)
casper	#000000	Drosophila	0.1	0.409090909090909	alternative acceptors (n = 88)
DEXSeq-default	#F0E442	Drosophila	0.1	0.613636363636364	alternative acceptors (n = 88)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.636363636363636	alternative acceptors (n = 88)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.181818181818182	alternative acceptors (n = 88)
featureCounts-flat	#E69F00	Drosophila	0.1	0.590909090909091	alternative acceptors (n = 88)
kallisto	#00FF00	Drosophila	0.1	0.647727272727273	alternative acceptors (n = 88)
MISO	#0072B2	Drosophila	0.1	0.704545454545455	alternative acceptors (n = 88)
SplicingGraph	#D55E00	Drosophila	0.1	0.659090909090909	alternative acceptors (n = 88)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.636363636363636	alternative acceptors (n = 88)
cuffdiff	#72B20C	Drosophila	0.1	0.340909090909091	alternative acceptors (n = 88)
rMATS	#7B0077	Drosophila	0.1	0.636363636363636	alternative acceptors (n = 88)
casper	#000000	Drosophila	0.01	0.38	alternative donors (n = 50)
DEXSeq-default	#F0E442	Drosophila	0.01	0.58	alternative donors (n = 50)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.6	alternative donors (n = 50)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.28	alternative donors (n = 50)
featureCounts-flat	#E69F00	Drosophila	0.01	0.58	alternative donors (n = 50)
kallisto	#00FF00	Drosophila	0.01	0.62	alternative donors (n = 50)
MISO	#0072B2	Drosophila	0.01	0.62	alternative donors (n = 50)
SplicingGraph	#D55E00	Drosophila	0.01	0.68	alternative donors (n = 50)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.58	alternative donors (n = 50)
cuffdiff	#72B20C	Drosophila	0.01	0.16	alternative donors (n = 50)
rMATS	#7B0077	Drosophila	0.01	0.58	alternative donors (n = 50)
casper	#000000	Drosophila	0.05	0.4	alternative donors (n = 50)
DEXSeq-default	#F0E442	Drosophila	0.05	0.62	alternative donors (n = 50)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.64	alternative donors (n = 50)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.3	alternative donors (n = 50)
featureCounts-flat	#E69F00	Drosophila	0.05	0.62	alternative donors (n = 50)
kallisto	#00FF00	Drosophila	0.05	0.64	alternative donors (n = 50)
MISO	#0072B2	Drosophila	0.05	0.7	alternative donors (n = 50)
SplicingGraph	#D55E00	Drosophila	0.05	0.72	alternative donors (n = 50)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.64	alternative donors (n = 50)
cuffdiff	#72B20C	Drosophila	0.05	0.24	alternative donors (n = 50)
rMATS	#7B0077	Drosophila	0.05	0.64	alternative donors (n = 50)
casper	#000000	Drosophila	0.1	0.42	alternative donors (n = 50)
DEXSeq-default	#F0E442	Drosophila	0.1	0.66	alternative donors (n = 50)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.68	alternative donors (n = 50)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.36	alternative donors (n = 50)
featureCounts-flat	#E69F00	Drosophila	0.1	0.64	alternative donors (n = 50)
kallisto	#00FF00	Drosophila	0.1	0.68	alternative donors (n = 50)
MISO	#0072B2	Drosophila	0.1	0.72	alternative donors (n = 50)
SplicingGraph	#D55E00	Drosophila	0.1	0.72	alternative donors (n = 50)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.66	alternative donors (n = 50)
cuffdiff	#72B20C	Drosophila	0.1	0.26	alternative donors (n = 50)
rMATS	#7B0077	Drosophila	0.1	0.66	alternative donors (n = 50)
casper	#000000	Drosophila	0.01	0.5	mutually exclusive exons (n = 6)
DEXSeq-default	#F0E442	Drosophila	0.01	0.666666666666667	mutually exclusive exons (n = 6)
