method_name	method_col	organism	threshold	TPR	L1
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.468599033816425	[    0,  100) (n = 207)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.454106280193237	[    0,  100) (n = 207)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.473429951690821	[    0,  100) (n = 207)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	0.454106280193237	[    0,  100) (n = 207)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	0.458937198067633	[    0,  100) (n = 207)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.521739130434783	[    0,  100) (n = 207)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	0.497584541062802	[    0,  100) (n = 207)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	0.521739130434783	[    0,  100) (n = 207)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	0.502415458937198	[    0,  100) (n = 207)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	0.507246376811594	[    0,  100) (n = 207)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.545893719806763	[    0,  100) (n = 207)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	0.521739130434783	[    0,  100) (n = 207)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	0.536231884057971	[    0,  100) (n = 207)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	0.526570048309179	[    0,  100) (n = 207)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.1	0.526570048309179	[    0,  100) (n = 207)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.657370517928287	[  100, 1000) (n = 502)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.641434262948207	[  100, 1000) (n = 502)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.665338645418327	[  100, 1000) (n = 502)
