method_name	method_col	organism	threshold	TPR	L1
casper	#000000	Drosophila	0.01	0.182994454713494	[0.000,0.333) (n = 10426)
DEXSeq-default	#F0E442	Drosophila	0.01	0.316081330868762	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.33826247689464	[0.000,0.333) (n = 10426)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.251386321626617	[0.000,0.333) (n = 10426)
featureCounts-flat	#E69F00	Drosophila	0.01	0.312384473197782	[0.000,0.333) (n = 10426)
kallisto	#00FF00	Drosophila	0.01	0.277264325323475	[0.000,0.333) (n = 10426)
MISO	#0072B2	Drosophila	0.01	0.343807763401109	[0.000,0.333) (n = 10426)
SplicingGraph	#D55E00	Drosophila	0.01	0.321626617375231	[0.000,0.333) (n = 10426)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.216266173752311	[0.000,0.333) (n = 10426)
cuffdiff	#72B20C	Drosophila	0.01	0	[0.000,0.333) (n = 10426)
rMATS	#7B0077	Drosophila	0.01	0.153419593345656	[0.000,0.333) (n = 10426)
casper	#000000	Drosophila	0.05	0.22735674676525	[0.000,0.333) (n = 10426)
DEXSeq-default	#F0E442	Drosophila	0.05	0.371534195933457	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.399260628465804	[0.000,0.333) (n = 10426)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.280961182994455	[0.000,0.333) (n = 10426)
featureCounts-flat	#E69F00	Drosophila	0.05	0.362292051756007	[0.000,0.333) (n = 10426)
kallisto	#00FF00	Drosophila	0.05	0.341959334565619	[0.000,0.333) (n = 10426)
MISO	#0072B2	Drosophila	0.05	0.425138632162662	[0.000,0.333) (n = 10426)
SplicingGraph	#D55E00	Drosophila	0.05	0.375231053604436	[0.000,0.333) (n = 10426)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.293900184842884	[0.000,0.333) (n = 10426)
cuffdiff	#72B20C	Drosophila	0.05	0.011090573012939	[0.000,0.333) (n = 10426)
rMATS	#7B0077	Drosophila	0.05	0.203327171903882	[0.000,0.333) (n = 10426)
casper	#000000	Drosophila	0.1	0.253234750462107	[0.000,0.333) (n = 10426)
DEXSeq-default	#F0E442	Drosophila	0.1	0.414048059149723	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.44547134935305	[0.000,0.333) (n = 10426)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.317929759704251	[0.000,0.333) (n = 10426)
featureCounts-flat	#E69F00	Drosophila	0.1	0.395563770794824	[0.000,0.333) (n = 10426)
kallisto	#00FF00	Drosophila	0.1	0.395563770794824	[0.000,0.333) (n = 10426)
MISO	#0072B2	Drosophila	0.1	0.471349353049908	[0.000,0.333) (n = 10426)
SplicingGraph	#D55E00	Drosophila	0.1	0.401109057301294	[0.000,0.333) (n = 10426)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.33826247689464	[0.000,0.333) (n = 10426)
cuffdiff	#72B20C	Drosophila	0.1	0.011090573012939	[0.000,0.333) (n = 10426)
rMATS	#7B0077	Drosophila	0.1	0.231053604436229	[0.000,0.333) (n = 10426)
casper	#000000	Drosophila	0.01	0.590257879656161	[0.333,0.667) (n = 1302)
DEXSeq-default	#F0E442	Drosophila	0.01	0.905444126074499	[0.333,0.667) (n = 1302)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.94269340974212	[0.333,0.667) (n = 1302)
