method_name	method_col	organism	threshold	TPR	L1
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.33826247689464	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.314232902033272	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.340110905730129	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	0.308687615526802	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	0.308687615526802	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.399260628465804	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	0.364140480591497	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	0.410351201478743	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	0.362292051756007	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	0.358595194085028	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.44547134935305	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	0.390018484288355	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	0.44362292051756	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	0.395563770794824	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.1	0.399260628465804	[0.000,0.333) (n = 10426)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.94269340974212	[0.333,0.667) (n = 1302)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.939828080229226	[0.333,0.667) (n = 1302)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.951289398280802	[0.333,0.667) (n = 1302)
