method_name	method_col	organism	threshold	TPR	L1
DEXSeq-default	#F0E442	Drosophila	0.01	0.613207547169811	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.639622641509434	[ 2, 4) (n = 3890)
featureCounts-flat	#E69F00	Drosophila	0.01	0.630188679245283	[ 2, 4) (n = 3890)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.445283018867925	[ 2, 4) (n = 3890)
casper	#000000	Drosophila	0.01	0.411320754716981	[ 2, 4) (n = 3890)
MISO	#0072B2	Drosophila	0.01	0.671698113207547	[ 2, 4) (n = 3890)
SplicingGraph	#D55E00	Drosophila	0.01	0.60188679245283	[ 2, 4) (n = 3890)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.449056603773585	[ 2, 4) (n = 3890)
kallisto	#00FF00	Drosophila	0.01	0.645283018867924	[ 2, 4) (n = 3890)
cuffdiff	#72B20C	Drosophila	0.01	0.19622641509434	[ 2, 4) (n = 3890)
rMATS	#7B0077	Drosophila	0.01	0.213207547169811	[ 2, 4) (n = 3890)
DEXSeq-default	#F0E442	Drosophila	0.05	0.654716981132075	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.683018867924528	[ 2, 4) (n = 3890)
featureCounts-flat	#E69F00	Drosophila	0.05	0.666037735849057	[ 2, 4) (n = 3890)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.460377358490566	[ 2, 4) (n = 3890)
casper	#000000	Drosophila	0.05	0.447169811320755	[ 2, 4) (n = 3890)
MISO	#0072B2	Drosophila	0.05	0.709433962264151	[ 2, 4) (n = 3890)
SplicingGraph	#D55E00	Drosophila	0.05	0.639622641509434	[ 2, 4) (n = 3890)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.479245283018868	[ 2, 4) (n = 3890)
kallisto	#00FF00	Drosophila	0.05	0.686792452830189	[ 2, 4) (n = 3890)
cuffdiff	#72B20C	Drosophila	0.05	0.230188679245283	[ 2, 4) (n = 3890)
rMATS	#7B0077	Drosophila	0.05	0.233962264150943	[ 2, 4) (n = 3890)
DEXSeq-default	#F0E442	Drosophila	0.1	0.677358490566038	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.707547169811321	[ 2, 4) (n = 3890)
featureCounts-flat	#E69F00	Drosophila	0.1	0.679245283018868	[ 2, 4) (n = 3890)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.479245283018868	[ 2, 4) (n = 3890)
casper	#000000	Drosophila	0.1	0.467924528301887	[ 2, 4) (n = 3890)
MISO	#0072B2	Drosophila	0.1	0.722641509433962	[ 2, 4) (n = 3890)
SplicingGraph	#D55E00	Drosophila	0.1	0.650943396226415	[ 2, 4) (n = 3890)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.50188679245283	[ 2, 4) (n = 3890)
kallisto	#00FF00	Drosophila	0.1	0.709433962264151	[ 2, 4) (n = 3890)
cuffdiff	#72B20C	Drosophila	0.1	0.235849056603774	[ 2, 4) (n = 3890)
rMATS	#7B0077	Drosophila	0.1	0.241509433962264	[ 2, 4) (n = 3890)
DEXSeq-default	#F0E442	Drosophila	0.01	0.554187192118227	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.588669950738916	[ 4,10) (n = 1366)
featureCounts-flat	#E69F00	Drosophila	0.01	0.561576354679803	[ 4,10) (n = 1366)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.475369458128079	[ 4,10) (n = 1366)
casper	#000000	Drosophila	0.01	0.339901477832512	[ 4,10) (n = 1366)
MISO	#0072B2	Drosophila	0.01	0.603448275862069	[ 4,10) (n = 1366)
SplicingGraph	#D55E00	Drosophila	0.01	0.583743842364532	[ 4,10) (n = 1366)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.495073891625616	[ 4,10) (n = 1366)
kallisto	#00FF00	Drosophila	0.01	0.559113300492611	[ 4,10) (n = 1366)
cuffdiff	#72B20C	Drosophila	0.01	0.125615763546798	[ 4,10) (n = 1366)
rMATS	#7B0077	Drosophila	0.01	0.317733990147783	[ 4,10) (n = 1366)
DEXSeq-default	#F0E442	Drosophila	0.05	0.591133004926108	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.630541871921182	[ 4,10) (n = 1366)
featureCounts-flat	#E69F00	Drosophila	0.05	0.596059113300493	[ 4,10) (n = 1366)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.502463054187192	[ 4,10) (n = 1366)
casper	#000000	Drosophila	0.05	0.38423645320197	[ 4,10) (n = 1366)
MISO	#0072B2	Drosophila	0.05	0.660098522167488	[ 4,10) (n = 1366)
SplicingGraph	#D55E00	Drosophila	0.05	0.623152709359606	[ 4,10) (n = 1366)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.561576354679803	[ 4,10) (n = 1366)
kallisto	#00FF00	Drosophila	0.05	0.598522167487685	[ 4,10) (n = 1366)
cuffdiff	#72B20C	Drosophila	0.05	0.157635467980296	[ 4,10) (n = 1366)
rMATS	#7B0077	Drosophila	0.05	0.364532019704433	[ 4,10) (n = 1366)
DEXSeq-default	#F0E442	Drosophila	0.1	0.618226600985222	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.655172413793103	[ 4,10) (n = 1366)
featureCounts-flat	#E69F00	Drosophila	0.1	0.62807881773399	[ 4,10) (n = 1366)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.53448275862069	[ 4,10) (n = 1366)
casper	#000000	Drosophila	0.1	0.396551724137931	[ 4,10) (n = 1366)
MISO	#0072B2	Drosophila	0.1	0.697044334975369	[ 4,10) (n = 1366)
SplicingGraph	#D55E00	Drosophila	0.1	0.642857142857143	[ 4,10) (n = 1366)
TopHat-junctions	#CC79A7	Drosophila	0.1	0.5935960591133	[ 4,10) (n = 1366)
kallisto	#00FF00	Drosophila	0.1	0.633004926108374	[ 4,10) (n = 1366)
cuffdiff	#72B20C	Drosophila	0.1	0.17487684729064	[ 4,10) (n = 1366)
rMATS	#7B0077	Drosophila	0.1	0.391625615763547	[ 4,10) (n = 1366)
DEXSeq-default	#F0E442	Drosophila	0.01	0.546875	[10,74] (n = 181)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.59375	[10,74] (n = 181)
featureCounts-flat	#E69F00	Drosophila	0.01	0.578125	[10,74] (n = 181)
featureCounts-exon	#56B4E9	Drosophila	0.01	0.5	[10,74] (n = 181)
casper	#000000	Drosophila	0.01	0.390625	[10,74] (n = 181)
MISO	#0072B2	Drosophila	0.01	0.5625	[10,74] (n = 181)
SplicingGraph	#D55E00	Drosophila	0.01	0.5625	[10,74] (n = 181)
TopHat-junctions	#CC79A7	Drosophila	0.01	0.421875	[10,74] (n = 181)
kallisto	#00FF00	Drosophila	0.01	0.453125	[10,74] (n = 181)
cuffdiff	#72B20C	Drosophila	0.01	0.09375	[10,74] (n = 181)
rMATS	#7B0077	Drosophila	0.01	0.390625	[10,74] (n = 181)
DEXSeq-default	#F0E442	Drosophila	0.05	0.5625	[10,74] (n = 181)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.609375	[10,74] (n = 181)
featureCounts-flat	#E69F00	Drosophila	0.05	0.59375	[10,74] (n = 181)
featureCounts-exon	#56B4E9	Drosophila	0.05	0.53125	[10,74] (n = 181)
casper	#000000	Drosophila	0.05	0.453125	[10,74] (n = 181)
MISO	#0072B2	Drosophila	0.05	0.640625	[10,74] (n = 181)
SplicingGraph	#D55E00	Drosophila	0.05	0.609375	[10,74] (n = 181)
TopHat-junctions	#CC79A7	Drosophila	0.05	0.53125	[10,74] (n = 181)
kallisto	#00FF00	Drosophila	0.05	0.46875	[10,74] (n = 181)
cuffdiff	#72B20C	Drosophila	0.05	0.109375	[10,74] (n = 181)
rMATS	#7B0077	Drosophila	0.05	0.46875	[10,74] (n = 181)
DEXSeq-default	#F0E442	Drosophila	0.1	0.609375	[10,74] (n = 181)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.671875	[10,74] (n = 181)
featureCounts-flat	#E69F00	Drosophila	0.1	0.609375	[10,74] (n = 181)
featureCounts-exon	#56B4E9	Drosophila	0.1	0.546875	[10,74] (n = 181)
