method_name	method_col	organism	threshold	TPR	L1
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.639622641509434	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.635849056603774	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.650943396226415	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	0.643396226415094	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	0.639622641509434	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.683018867924528	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	0.667924528301887	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	0.69622641509434	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	0.673584905660377	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	0.673584905660377	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.707547169811321	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	0.683018867924528	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	0.711320754716981	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	0.690566037735849	[ 2, 4) (n = 3890)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.1	0.69622641509434	[ 2, 4) (n = 3890)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.588669950738916	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.564039408866995	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.588669950738916	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	0.554187192118227	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	0.556650246305419	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.630541871921182	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	0.600985221674877	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	0.630541871921182	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	0.600985221674877	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	0.600985221674877	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.655172413793103	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	0.623152709359606	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	0.650246305418719	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.1	0.630541871921182	[ 4,10) (n = 1366)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.1	0.630541871921182	[ 4,10) (n = 1366)
DEXSeq-noaggreg	#009E73	Drosophila	0.01	0.59375	[10,74] (n = 181)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.01	0.578125	[10,74] (n = 181)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.01	0.578125	[10,74] (n = 181)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.01	0.546875	[10,74] (n = 181)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.01	0.53125	[10,74] (n = 181)
DEXSeq-noaggreg	#009E73	Drosophila	0.05	0.609375	[10,74] (n = 181)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.05	0.59375	[10,74] (n = 181)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.05	0.640625	[10,74] (n = 181)
DEXSeq-noaggreg (>15%)	#56B4E9	Drosophila	0.05	0.5625	[10,74] (n = 181)
DEXSeq-noaggreg (>25%)	#0072B2	Drosophila	0.05	0.53125	[10,74] (n = 181)
DEXSeq-noaggreg	#009E73	Drosophila	0.1	0.671875	[10,74] (n = 181)
DEXSeq-noaggreg (>5%)	#000000	Drosophila	0.1	0.609375	[10,74] (n = 181)
DEXSeq-noaggreg (>10%)	#E69F00	Drosophila	0.1	0.6875	[10,74] (n = 181)
