method_name	method_col	method_pch	organism	threshold	TPR	L1
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0.583203732503888	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	0.59253499222395	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	0.651632970451011	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Human	0.01	0.650077760497667	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-flat	featureCounts-flat	complete	Human	0.01	0.654743390357698	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Human	0.01	0.653188180404355	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-exon	featureCounts-exon	complete	Human	0.01	0.576982892690513	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Human	0.01	0.573872472783826	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
casper	casper	complete	Human	0.01	0.376360808709176	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
casper, incomplete	casper	incomplete	Human	0.01	0.404354587869362	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
MISO	MISO	complete	Human	0.01	0.679626749611198	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
MISO, incomplete	MISO	incomplete	Human	0.01	0.684292379471229	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
SplicingGraph	SplicingGraph	complete	Human	0.01	0.639191290824261	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
SplicingGraph, incomplete	SplicingGraph	incomplete	Human	0.01	0.632970451010886	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
TopHat-junctions	TopHat-junctions	complete	Human	0.01	0.59253499222395	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Human	0.01	0.566096423017107	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
kallisto	kallisto	complete	Human	0.01	0.671850699844479	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
kallisto, incomplete	kallisto	incomplete	Human	0.01	0.671850699844479	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0.620528771384137	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	0.631415241057543	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	0.695178849144635	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Human	0.05	0.695178849144635	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-flat	featureCounts-flat	complete	Human	0.05	0.698289269051322	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Human	0.05	0.701399688958009	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-exon	featureCounts-exon	complete	Human	0.05	0.603421461897356	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Human	0.05	0.606531881804043	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
casper	casper	complete	Human	0.05	0.410575427682737	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
casper, incomplete	casper	incomplete	Human	0.05	0.444790046656299	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
MISO	MISO	complete	Human	0.05	0.71850699844479	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
MISO, incomplete	MISO	incomplete	Human	0.05	0.723172628304821	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
SplicingGraph	SplicingGraph	complete	Human	0.05	0.679626749611198	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
SplicingGraph, incomplete	SplicingGraph	incomplete	Human	0.05	0.679626749611198	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
TopHat-junctions	TopHat-junctions	complete	Human	0.05	0.657853810264386	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Human	0.05	0.608087091757387	0 ds.[ 2,69] rem (n = 15613, n.ds = 643)
