method_name	method_col	method_pch	organism	threshold	TPR	L1
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	0.596846846846847	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	0.601351351351351	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	0.619369369369369	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	0.61036036036036	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.01	0.608108108108108	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Drosophila	0.01	0.61036036036036	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	0.45045045045045	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	0.45045045045045	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper	casper	complete	Drosophila	0.01	0.380630630630631	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper, incomplete	casper	incomplete	Drosophila	0.01	0.398648648648649	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO	MISO	complete	Drosophila	0.01	0.646396396396396	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO, incomplete	MISO	incomplete	Drosophila	0.01	0.644144144144144	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph	SplicingGraph	complete	Drosophila	0.01	0.59009009009009	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph, incomplete	SplicingGraph	incomplete	Drosophila	0.01	0.565315315315315	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions	TopHat-junctions	complete	Drosophila	0.01	0.454954954954955	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Drosophila	0.01	0.457207207207207	0 ds. 0 nonds (n = 9615, n.ds = 444)
kallisto	kallisto	complete	Drosophila	0.01	0.619369369369369	0 ds. 0 nonds (n = 9615, n.ds = 444)
kallisto, incomplete	kallisto	incomplete	Drosophila	0.01	0.619369369369369	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	0.630630630630631	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	0.635135135135135	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	0.65990990990991	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	0.63963963963964	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.05	0.63963963963964	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Drosophila	0.05	0.641891891891892	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	0.470720720720721	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	0.47972972972973	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper	casper	complete	Drosophila	0.05	0.421171171171171	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper, incomplete	casper	incomplete	Drosophila	0.05	0.441441441441441	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO	MISO	complete	Drosophila	0.05	0.686936936936937	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO, incomplete	MISO	incomplete	Drosophila	0.05	0.686936936936937	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph	SplicingGraph	complete	Drosophila	0.05	0.628378378378378	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph, incomplete	SplicingGraph	incomplete	Drosophila	0.05	0.608108108108108	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions	TopHat-junctions	complete	Drosophila	0.05	0.490990990990991	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Drosophila	0.05	0.497747747747748	0 ds. 0 nonds (n = 9615, n.ds = 444)
kallisto	kallisto	complete	Drosophila	0.05	0.664414414414414	0 ds. 0 nonds (n = 9615, n.ds = 444)
kallisto, incomplete	kallisto	incomplete	Drosophila	0.05	0.666666666666667	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	0.657657657657658	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.1	0.662162162162162	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.1	0.682432432432432	0 ds. 0 nonds (n = 9615, n.ds = 444)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.1	0.655405405405405	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.1	0.657657657657658	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Drosophila	0.1	0.65990990990991	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.1	0.497747747747748	0 ds. 0 nonds (n = 9615, n.ds = 444)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.1	0.497747747747748	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper	casper	complete	Drosophila	0.1	0.434684684684685	0 ds. 0 nonds (n = 9615, n.ds = 444)
casper, incomplete	casper	incomplete	Drosophila	0.1	0.454954954954955	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO	MISO	complete	Drosophila	0.1	0.709459459459459	0 ds. 0 nonds (n = 9615, n.ds = 444)
MISO, incomplete	MISO	incomplete	Drosophila	0.1	0.709459459459459	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph	SplicingGraph	complete	Drosophila	0.1	0.644144144144144	0 ds. 0 nonds (n = 9615, n.ds = 444)
SplicingGraph, incomplete	SplicingGraph	incomplete	Drosophila	0.1	0.626126126126126	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions	TopHat-junctions	complete	Drosophila	0.1	0.52027027027027	0 ds. 0 nonds (n = 9615, n.ds = 444)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Drosophila	0.1	0.524774774774775	0 ds. 0 nonds (n = 9615, n.ds = 444)
kallisto	kallisto	complete	Drosophila	0.1	0.686936936936937	0 ds. 0 nonds (n = 9615, n.ds = 444)
