method_name	method_col	method_pch	organism	threshold	TPR	L1
DEXSeq-default	DEXSeq-default	complete	Human	0.01	0.627906976744186	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.01	0.633720930232558	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.01	0.691860465116279	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Human	0.01	0.691860465116279	0 ds. 0 nonds (n = 7299, n.ds = 172)
featureCounts-flat	featureCounts-flat	complete	Human	0.01	0.691860465116279	0 ds. 0 nonds (n = 7299, n.ds = 172)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Human	0.01	0.691860465116279	0 ds. 0 nonds (n = 7299, n.ds = 172)
featureCounts-exon	featureCounts-exon	complete	Human	0.01	0.616279069767442	0 ds. 0 nonds (n = 7299, n.ds = 172)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Human	0.01	0.616279069767442	0 ds. 0 nonds (n = 7299, n.ds = 172)
casper	casper	complete	Human	0.01	0.418604651162791	0 ds. 0 nonds (n = 7299, n.ds = 172)
casper, incomplete	casper	incomplete	Human	0.01	0.436046511627907	0 ds. 0 nonds (n = 7299, n.ds = 172)
MISO	MISO	complete	Human	0.01	0.715116279069767	0 ds. 0 nonds (n = 7299, n.ds = 172)
MISO, incomplete	MISO	incomplete	Human	0.01	0.715116279069767	0 ds. 0 nonds (n = 7299, n.ds = 172)
SplicingGraph	SplicingGraph	complete	Human	0.01	0.686046511627907	0 ds. 0 nonds (n = 7299, n.ds = 172)
SplicingGraph, incomplete	SplicingGraph	incomplete	Human	0.01	0.686046511627907	0 ds. 0 nonds (n = 7299, n.ds = 172)
TopHat-junctions	TopHat-junctions	complete	Human	0.01	0.604651162790698	0 ds. 0 nonds (n = 7299, n.ds = 172)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Human	0.01	0.593023255813954	0 ds. 0 nonds (n = 7299, n.ds = 172)
kallisto	kallisto	complete	Human	0.01	0.709302325581395	0 ds. 0 nonds (n = 7299, n.ds = 172)
kallisto, incomplete	kallisto	incomplete	Human	0.01	0.703488372093023	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-default	DEXSeq-default	complete	Human	0.05	0.656976744186046	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Human	0.05	0.662790697674419	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Human	0.05	0.726744186046512	0 ds. 0 nonds (n = 7299, n.ds = 172)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Human	0.05	0.726744186046512	0 ds. 0 nonds (n = 7299, n.ds = 172)
featureCounts-flat	featureCounts-flat	complete	Human	0.05	0.720930232558139	0 ds. 0 nonds (n = 7299, n.ds = 172)
