method_name	method_col	method_pch	organism	threshold	TPR	L1
casper	casper	complete	Drosophila	0.01	0.5	 0 (n = 1799, n.ds = 16)
casper, incomplete	casper	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.01	0.8125	 0 (n = 1799, n.ds = 16)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.01	0.875	 0 (n = 1799, n.ds = 16)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.01	0.625	 0 (n = 1799, n.ds = 16)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.01	0.875	 0 (n = 1799, n.ds = 16)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
kallisto	kallisto	complete	Drosophila	0.01	0.875	 0 (n = 1799, n.ds = 16)
kallisto, incomplete	kallisto	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
MISO	MISO	complete	Drosophila	0.01	0.875	 0 (n = 1799, n.ds = 16)
MISO, incomplete	MISO	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
SplicingGraph	SplicingGraph	complete	Drosophila	0.01	0.75	 0 (n = 1799, n.ds = 16)
SplicingGraph, incomplete	SplicingGraph	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
TopHat-junctions	TopHat-junctions	complete	Drosophila	0.01	0.75	 0 (n = 1799, n.ds = 16)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Drosophila	0.01	0	 0 (n = 1799, n.ds = 16)
casper	casper	complete	Drosophila	0.05	0.625	 0 (n = 1799, n.ds = 16)
casper, incomplete	casper	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.05	0.8125	 0 (n = 1799, n.ds = 16)
DEXSeq-default, incomplete	DEXSeq-default	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
DEXSeq-noaggreg	DEXSeq-noaggreg	complete	Drosophila	0.05	0.875	 0 (n = 1799, n.ds = 16)
DEXSeq-noaggreg, incomplete	DEXSeq-noaggreg	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
featureCounts-exon	featureCounts-exon	complete	Drosophila	0.05	0.625	 0 (n = 1799, n.ds = 16)
featureCounts-exon, incomplete	featureCounts-exon	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
featureCounts-flat	featureCounts-flat	complete	Drosophila	0.05	0.875	 0 (n = 1799, n.ds = 16)
featureCounts-flat, incomplete	featureCounts-flat	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
kallisto	kallisto	complete	Drosophila	0.05	0.875	 0 (n = 1799, n.ds = 16)
kallisto, incomplete	kallisto	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
MISO	MISO	complete	Drosophila	0.05	0.875	 0 (n = 1799, n.ds = 16)
MISO, incomplete	MISO	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
SplicingGraph	SplicingGraph	complete	Drosophila	0.05	0.8125	 0 (n = 1799, n.ds = 16)
SplicingGraph, incomplete	SplicingGraph	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
TopHat-junctions	TopHat-junctions	complete	Drosophila	0.05	0.75	 0 (n = 1799, n.ds = 16)
TopHat-junctions, incomplete	TopHat-junctions	incomplete	Drosophila	0.05	0	 0 (n = 1799, n.ds = 16)
casper	casper	complete	Drosophila	0.1	0.625	 0 (n = 1799, n.ds = 16)
casper, incomplete	casper	incomplete	Drosophila	0.1	0	 0 (n = 1799, n.ds = 16)
DEXSeq-default	DEXSeq-default	complete	Drosophila	0.1	0.8125	 0 (n = 1799, n.ds = 16)
